City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
98,Biltine,TD,2020-07-10 10:55:17,14.53,20.92,93.06,37,100,12.26,overcast clouds,0.0,0.0
99,Evinayong,GQ,2020-07-10 10:55:17,1.44,10.55,79.21,65,98,4.68,overcast clouds,0.0,0.0
100,Georgetown,MY,2020-07-10 10:46:09,5.41,100.34,86.0,74,20,6.93,few clouds,0.0,0.0
101,Luwuk,ID,2020-07-10 10:55:17,-0.95,122.79,77.7,81,93,4.54,light rain,0.0,0.0
102,Olafsvik,IS,2020-07-10 10:55:17,64.89,-23.71,50.67,75,75,9.17,broken clouds,0.0,0.0
103,Qaanaaq,GL,2020-07-10 10:49:16,77.48,-69.36,44.46,60,29,2.44,scattered clouds,0.0,0.0
104,Ostrovnoy,RU,2020-07-10 10:55:17,68.05,39.51,66.85,49,12,18.72,few clouds,0.0,0.0
105,Hithadhoo,MV,2020-07-10 10:49:31,-0.6,73.08,83.64,74,98,8.25,moderate rain,0.1,0.0
106,Upernavik,GL,2020-07-10 10:49:19,72.79,-56.15,39.4,86,100,9.13,overcast clouds,0.0,0.0
107,Tadine,NC,2020-07-10 10:55:18,-21.55,167.88,66.45,75,5,16.37,clear sky,0.0,0.0
108,Aklavik,CA,2020-07-10 10:55:18,68.22,-135.01,39.2,93,90,6.93,overcast clouds,0.0,0.0
109,Shahganj,IN,2020-07-10 10:55:18,26.05,82.68,78.8,94,90,5.82,thunderstorm with light rain,0.0,0.0
110,San Cristobal,VE,2020-07-10 10:48:58,7.77,-72.22,63.91,86,35,4.16,scattered clouds,0.0,0.0
111,Broome,US,2020-07-10 10:55:18,42.25,-75.83,71.01,88,1,5.82,clear sky,0.0,0.0
112,Lae,PG,2020-07-10 10:55:18,-6.72,146.98,76.66,80,82,1.01,light rain,0.0,0.0
113,Bengkulu,ID,2020-07-10 10:49:10,-3.8,102.27,80.98,83,92,5.88,overcast clouds,0.0,0.0
114,Khorramshahr,IR,2020-07-10 10:55:19,30.44,48.17,118.4,9,0,4.7,clear sky,0.0,0.0
115,Neijiang,CN,2020-07-10 10:55:19,29.58,105.06,75.45,93,99,8.77,overcast clouds,0.0,0.0
116,Zonguldak,TR,2020-07-10 10:55:19,41.25,31.83,80.6,54,20,12.75,few clouds,0.0,0.0
117,Cabedelo,BR,2020-07-10 10:55:19,-6.98,-34.83,75.2,94,20,4.7,few clouds,0.0,0.0
118,Oranjemund,NA,2020-07-10 10:55:06,-28.55,16.43,57.25,80,100,32.06,moderate rain,0.1,0.0
119,Ilulissat,GL,2020-07-10 10:55:19,69.22,-51.1,41.0,93,90,18.34,light rain,0.0,0.0
120,Tuktoyaktuk,CA,2020-07-10 10:49:13,69.45,-133.04,39.2,100,90,10.29,light intensity drizzle,0.0,0.0
121,Marzuq,YE,2020-07-10 10:55:19,14.4,46.47,98.69,18,3,6.49,clear sky,0.0,0.0
122,San Patricio,MX,2020-07-10 10:55:20,19.22,-104.7,79.3,74,100,1.9,overcast clouds,0.0,0.0
123,Saldanha,ZA,2020-07-10 10:49:20,-33.01,17.94,53.6,93,99,10.29,light rain,0.0,0.0
124,Oktyabrskoye,RU,2020-07-10 10:55:20,43.06,44.74,75.2,69,75,6.71,broken clouds,0.0,0.0
125,Bredasdorp,ZA,2020-07-10 10:49:08,-34.53,20.04,55.4,76,95,8.05,overcast clouds,0.0,0.0
126,Amos,CA,2020-07-10 10:55:20,48.57,-78.12,71.01,82,20,5.82,few clouds,0.0,0.0
127,Jinchang,CN,2020-07-10 10:55:20,38.5,102.17,87.93,12,100,14.29,overcast clouds,0.0,0.0
128,Nizhnevartovsk,RU,2020-07-10 10:55:21,60.93,76.55,71.6,56,40,13.42,scattered clouds,0.0,0.0
129,Fare,PF,2020-07-10 10:55:21,-16.7,-151.02,77.95,79,54,21.47,broken clouds,0.0,0.0
130,Santiago Del Estero,AR,2020-07-10 10:55:21,-27.8,-64.26,48.07,80,0,7.25,clear sky,0.0,0.0
131,Dangriga,BZ,2020-07-10 10:55:21,16.97,-88.23,82.0,84,95,4.0,light rain,0.0,0.0
132,Pyaozerskiy,RU,2020-07-10 10:55:21,65.83,31.17,61.47,57,1,13.94,light rain,0.0,0.0
133,Ayan,RU,2020-07-10 10:55:21,56.45,138.17,50.59,94,100,3.78,overcast clouds,0.0,0.0
134,Mayor Pablo Lagerenza,PY,2020-07-10 10:55:21,-19.93,-60.77,56.28,88,98,5.12,overcast clouds,0.0,0.0
135,Diffa,NE,2020-07-10 10:55:22,13.32,12.61,95.77,34,83,14.65,broken clouds,0.0,0.0
136,Delta Del Tigre,UY,2020-07-10 10:55:22,-34.76,-56.39,44.01,81,88,8.05,overcast clouds,0.0,0.0
137,Hasaki,JP,2020-07-10 10:49:15,35.73,140.83,80.6,83,75,11.41,broken clouds,0.0,0.0
138,Dikson,RU,2020-07-10 10:48:54,73.51,80.55,45.59,75,28,20.71,scattered clouds,0.0,0.0
139,Chokurdakh,RU,2020-07-10 10:49:07,70.63,147.92,56.43,56,58,11.95,broken clouds,0.0,0.0
140,Castro,BR,2020-07-10 10:49:01,-24.79,-50.01,44.06,68,72,2.73,broken clouds,0.0,0.0
141,Chadiza,ZM,2020-07-10 10:55:23,-14.07,32.44,80.29,40,47,4.72,scattered clouds,0.0,0.0
142,Lisakovsk,KZ,2020-07-10 10:55:23,52.54,62.49,90.7,38,9,10.13,clear sky,0.0,0.0
143,College,US,2020-07-10 10:55:23,64.86,-147.8,55.4,87,75,3.36,light rain,0.0,0.0
144,Cidreira,BR,2020-07-10 10:49:20,-30.18,-50.21,49.66,79,0,6.62,clear sky,0.0,0.0
145,Te Anau,NZ,2020-07-10 10:50:16,-45.42,167.72,41.16,86,100,2.24,overcast clouds,0.0,0.0
146,Abu Kamal,SY,2020-07-10 10:55:23,34.45,40.92,106.54,15,53,8.21,broken clouds,0.0,0.0
147,Ismailia,EG,2020-07-10 10:55:24,30.6,32.27,97.56,23,0,11.54,clear sky,0.0,0.0
148,Acapulco,MX,2020-07-10 10:49:21,16.86,-99.89,79.03,79,66,4.0,broken clouds,0.0,0.0
149,Bluff,NZ,2020-07-10 10:49:06,-46.6,168.33,50.2,79,96,17.52,light rain,0.0,0.0
150,Severnyy,RU,2020-07-10 10:55:24,50.68,36.55,73.4,43,10,4.47,clear sky,0.0,0.0
151,Andenes,NO,2020-07-10 10:49:05,69.31,16.12,53.6,81,46,5.82,scattered clouds,0.0,0.0
152,Jacareacanga,BR,2020-07-10 10:55:24,-6.22,-57.75,71.04,73,13,1.28,few clouds,0.0,0.0
153,Codrington,AU,2020-07-10 10:55:24,-38.27,141.97,48.76,88,100,5.73,overcast clouds,0.0,0.0
154,Namibe,AO,2020-07-10 10:49:20,-15.2,12.15,64.4,68,20,12.75,few clouds,0.0,0.0
155,Dumai,ID,2020-07-10 10:55:25,1.68,101.45,82.11,74,85,2.28,overcast clouds,0.0,0.0
156,Puerto Ayora,EC,2020-07-10 10:49:06,-0.74,-90.35,68.0,89,98,1.01,overcast clouds,0.0,0.0
157,Kapuskasing,CA,2020-07-10 10:55:25,49.42,-82.43,62.6,93,75,3.36,broken clouds,0.0,0.0
158,Salalah,OM,2020-07-10 10:49:17,17.02,54.09,86.0,79,75,13.87,broken clouds,0.0,0.0
159,Pafos,CY,2020-07-10 10:54:59,34.77,32.42,89.01,66,40,8.05,scattered clouds,0.0,0.0
160,Souillac,MU,2020-07-10 10:49:02,-20.52,57.52,73.4,69,40,18.34,scattered clouds,0.0,0.0
161,Itarema,BR,2020-07-10 10:49:58,-2.92,-39.92,78.46,76,64,12.82,broken clouds,0.0,0.0
162,Demirci,TR,2020-07-10 10:55:25,39.05,28.66,85.53,26,0,8.08,clear sky,0.0,0.0
163,Wajima,JP,2020-07-10 10:55:26,37.4,136.9,71.6,94,75,5.82,light intensity shower rain,0.0,0.0
164,Santa Cruz Del Norte,CU,2020-07-10 10:55:26,23.15,-81.92,75.2,100,20,4.7,few clouds,0.0,0.0
165,Redmond,US,2020-07-10 10:51:51,47.67,-122.12,55.99,91,63,3.0,broken clouds,0.0,0.0
166,Tual,ID,2020-07-10 10:55:26,-5.67,132.75,79.54,87,99,16.82,light rain,0.0,0.0
167,Manokwari,ID,2020-07-10 10:55:26,-0.87,134.08,81.41,73,87,1.12,overcast clouds,0.0,0.0
168,Ashington,GB,2020-07-10 10:51:38,50.93,-0.39,68.0,48,40,12.75,scattered clouds,0.0,0.0
169,Thompson,CA,2020-07-10 10:48:54,55.74,-97.86,55.4,93,75,4.7,broken clouds,0.0,0.0
170,Torbay,CA,2020-07-10 10:55:27,47.67,-52.73,54.0,87,90,4.7,overcast clouds,0.0,0.0
171,Bira,RU,2020-07-10 10:55:27,49.0,132.47,65.37,89,34,1.72,scattered clouds,0.0,0.0
172,Dunedin,NZ,2020-07-10 10:49:12,-45.87,170.5,46.0,68,52,1.99,broken clouds,0.0,0.0
173,Nikolskoye,RU,2020-07-10 10:55:27,59.7,30.79,70.0,49,75,6.71,broken clouds,0.0,0.0
174,Gizo,SB,2020-07-10 10:49:28,-8.1,156.84,83.01,80,100,16.53,light rain,0.0,0.0
175,Gerash,IR,2020-07-10 10:55:27,27.67,54.14,109.4,13,40,2.55,scattered clouds,0.0,0.0
176,Mairana,BO,2020-07-10 10:55:28,-18.12,-63.93,47.28,100,100,2.62,overcast clouds,0.0,0.0
177,Raudeberg,NO,2020-07-10 10:55:28,61.99,5.14,59.0,74,55,8.08,broken clouds,0.0,0.0
178,Airai,TL,2020-07-10 10:55:28,-8.93,125.41,58.03,100,72,4.14,broken clouds,0.0,0.0
179,Mason City,US,2020-07-10 10:54:35,43.15,-93.2,66.0,100,1,9.17,clear sky,0.0,0.0
180,Kilosa,TZ,2020-07-10 10:55:28,-6.83,36.98,70.83,86,99,2.93,light rain,0.0,0.0
181,Trairi,BR,2020-07-10 10:55:28,-3.28,-39.27,75.97,85,35,8.79,light rain,0.0,0.0
182,Dingle,PH,2020-07-10 10:48:58,11.0,122.67,80.64,82,98,1.95,moderate rain,0.1,0.0
183,Alihe,CN,2020-07-10 10:55:29,50.57,123.72,77.47,46,3,5.35,clear sky,0.0,0.0
184,Homer,US,2020-07-10 10:55:29,59.64,-151.55,55.99,87,75,3.36,broken clouds,0.0,0.0
185,Otjiwarongo,NA,2020-07-10 10:55:29,-20.46,16.65,75.2,16,1,23.64,clear sky,0.0,0.0
186,Lata,PT,2020-07-10 10:49:17,40.16,-8.33,82.0,49,0,4.03,clear sky,0.0,0.0
187,Sambava,MG,2020-07-10 10:55:30,-14.27,50.17,77.14,63,6,16.62,clear sky,0.0,0.0
188,Bathsheba,BB,2020-07-10 10:49:48,13.22,-59.52,80.6,83,40,18.34,shower rain,0.0,0.0
189,Axim,GH,2020-07-10 10:55:30,4.87,-2.24,79.27,79,90,10.96,light rain,0.0,0.0
190,Darab,IR,2020-07-10 10:55:30,28.75,54.54,101.41,11,79,7.7,broken clouds,0.0,0.0
191,Faya,SA,2020-07-10 10:49:30,18.39,42.45,93.2,9,20,11.41,few clouds,0.0,0.0
192,Roald,NO,2020-07-10 10:55:30,62.58,6.13,57.0,76,75,11.41,broken clouds,0.0,0.0
193,North Platte,US,2020-07-10 10:49:51,41.12,-100.77,66.2,72,1,12.75,clear sky,0.0,0.0
194,Portland,US,2020-07-10 10:53:23,45.52,-122.68,60.01,77,40,5.82,scattered clouds,0.0,0.0
195,Beloha,MG,2020-07-10 10:49:37,-25.17,45.05,83.7,21,0,10.22,clear sky,0.0,0.0
196,Kinango,KE,2020-07-10 10:55:31,-4.14,39.32,82.4,61,40,9.17,scattered clouds,0.0,0.0
197,Bintulu,MY,2020-07-10 10:55:31,3.17,113.03,77.0,100,40,5.82,light rain,0.0,0.0
198,La Asuncion,VE,2020-07-10 10:55:31,11.03,-63.86,78.8,94,4,9.17,clear sky,0.0,0.0
199,Kenai,US,2020-07-10 10:49:23,60.55,-151.26,57.2,81,75,7.63,broken clouds,0.0,0.0
200,Jibuti,DJ,2020-07-10 10:49:04,11.5,42.5,109.4,18,1,14.99,haze,0.0,0.0
201,Galveston,US,2020-07-10 10:55:32,29.37,-94.97,84.2,83,1,10.29,clear sky,0.0,0.0
202,Agde,FR,2020-07-10 10:55:32,43.31,3.48,86.0,48,63,6.93,broken clouds,0.0,0.0
203,Padang,ID,2020-07-10 10:49:25,-0.95,100.35,82.27,74,88,2.95,light rain,0.0,0.0
204,Mogadishu,SO,2020-07-10 10:55:32,2.04,45.34,82.4,65,75,11.41,broken clouds,0.0,0.0
205,Pekan,MY,2020-07-10 10:55:32,3.48,103.4,84.2,83,20,3.36,few clouds,0.0,0.0
206,Diego De Almagro,CL,2020-07-10 10:55:32,-26.37,-70.05,44.31,58,0,0.63,clear sky,0.0,0.0
207,Kantang,TH,2020-07-10 10:55:33,7.41,99.52,78.8,88,20,6.93,few clouds,0.0,0.0
208,Rundu,NA,2020-07-10 10:55:33,-17.93,19.77,60.8,14,0,8.95,clear sky,0.0,0.0
209,Twin Falls,US,2020-07-10 10:55:33,42.56,-114.46,64.4,34,1,11.41,clear sky,0.0,0.0
210,Zhezkazgan,KZ,2020-07-10 10:55:33,47.8,67.71,91.4,18,0,13.42,clear sky,0.0,0.0
211,Ranong,TH,2020-07-10 10:55:33,9.97,98.63,84.2,79,20,4.7,few clouds,0.0,0.0
212,Douglas,US,2020-07-10 10:55:33,41.3,-96.17,68.0,94,1,3.65,clear sky,0.0,0.0
213,Wittmund,DE,2020-07-10 10:55:33,53.57,7.78,57.2,76,75,8.05,broken clouds,0.0,0.0
214,Rovaniemi,FI,2020-07-10 10:55:34,66.5,25.72,51.8,93,75,6.93,shower rain,0.0,0.0
215,Bambanglipuro,ID,2020-07-10 10:49:48,-7.95,110.28,77.77,79,99,13.29,overcast clouds,0.0,0.0
216,Nara,JP,2020-07-10 10:49:54,34.69,135.8,84.2,70,75,4.7,broken clouds,0.0,0.0
217,Tobol,KZ,2020-07-10 10:55:34,52.68,62.58,90.09,40,10,9.98,clear sky,0.0,0.0
218,Finschhafen,PG,2020-07-10 10:55:34,-6.6,147.87,77.97,85,100,11.54,moderate rain,0.1,0.0
219,Paamiut,GL,2020-07-10 10:48:51,61.99,-49.67,42.01,97,100,10.29,light rain,0.0,0.0
220,Lang Suan,TH,2020-07-10 10:55:34,9.95,99.08,84.2,79,20,4.7,few clouds,0.0,0.0
221,Port Moresby,PG,2020-07-10 10:49:56,-9.44,147.18,77.13,89,78,9.98,light rain,0.0,0.0
222,Celestun,MX,2020-07-10 10:55:35,20.87,-90.4,78.35,86,9,8.68,clear sky,0.0,0.0
223,Aden,YE,2020-07-10 10:55:35,12.78,45.04,93.42,53,52,14.76,broken clouds,0.0,0.0
224,Kayasula,RU,2020-07-10 10:55:35,44.33,45.0,87.6,39,81,11.27,broken clouds,0.0,0.0
225,Luangwa,ZM,2020-07-10 10:55:35,-15.62,30.42,84.31,47,74,4.47,broken clouds,0.0,0.0
226,Provideniya,RU,2020-07-10 10:55:35,64.38,-173.3,55.54,66,67,6.44,broken clouds,0.0,0.0
227,Kahului,US,2020-07-10 10:49:08,20.89,-156.47,80.6,57,20,17.22,smoke,0.0,0.0
228,Burns Lake,CA,2020-07-10 10:55:35,54.23,-125.75,43.25,88,85,3.33,overcast clouds,0.0,0.0
229,Njinikom,CM,2020-07-10 10:55:36,6.23,10.28,65.82,96,100,2.8,light rain,0.0,0.0
230,New Norfolk,AU,2020-07-10 10:49:15,-42.78,147.06,42.01,87,98,2.06,overcast clouds,0.0,0.0
231,Chatham,GB,2020-07-10 10:55:36,51.38,0.53,66.0,57,46,7.0,scattered clouds,0.0,0.0
232,Nampa,US,2020-07-10 10:55:36,43.54,-116.56,66.2,52,1,11.41,clear sky,0.0,0.0
233,Goma,CD,2020-07-10 10:55:36,-1.68,29.22,71.6,60,75,20.8,squalls,0.0,0.0
234,Mulatupo,PA,2020-07-10 10:55:36,8.95,-77.77,77.23,86,97,4.92,overcast clouds,0.0,0.0
235,Aykhal,RU,2020-07-10 10:49:39,66.0,111.5,60.8,93,90,8.95,overcast clouds,0.0,0.0
